player_id,first_name,last_name,display_name,short_name,country,country_flag,amateur,position,total,total_sort,thru,score,score_sort,current_round,player_state,tee_time,course_id,group_number,back_nine,movement_direction,movement_amount,total_strokes,official,projected,round_1,round_2,round_3,round_4
59006,Davis,Chatfield,Davis Chatfield,D. Chatfield,USA,USA,False,T33,-11,-11.0,F,-3,-3.0,4.0,COMPLETE,,669,14.0,False,UP,4,273,177,167,69,66,70,68
27139,David,Skinns,David Skinns,D. Skinns,ENG,ENG,False,T33,-11,-11.0,F,-3,-3.0,4.0,COMPLETE,,669,14.0,False,UP,4,273,139,136,72,67,66,68
35532,Tom,Hoge,Tom Hoge,T. Hoge,USA,USA,False,T33,-11,-11.0,F,-2,-2.0,4.0,COMPLETE,,669,18.0,False,DOWN,-6,273,75,74,73,64,67,69
47591,Eric,Cole,Eric Cole,E. Cole,USA,USA,False,T39,-10,-10.0,F,-6,-6.0,4.0,COMPLETE,,669,6.0,False,UP,25,274,41,42,76,63,70,65
35310,Lanto,Griffin,Lanto Griffin,L. Griffin,USA,USA,False,T39,-10,-10.0,F,-5,-5.0,4.0,COMPLETE,,669,8.0,False,UP,16,274,150,145,67,72,69,66
52514,Trace,Crowe,Trace Crowe,T. Crowe,USA,USA,False,T39,-10,-10.0,F,-4,-4.0,4.0,COMPLETE,,669,10.0,False,UP,10,274,156,148,69,69,69,67
54304,Karl,Vilips,Karl Vilips,K. Vilips,AUS,AUS,False,T39,-10,-10.0,F,-2,-2.0,4.0,COMPLETE,,669,15.0,False,DOWN,-2,274,122,122,72,65,68,69
59836,Pierceson,Coody,Pierceson Coody,Pi. Coody,USA,USA,False,T39,-10,-10.0,F,-1,-1.0,4.0,COMPLETE,,669,19.0,False,DOWN,-12,274,51,52,69,68,67,70
35461,Beau,Hossler,Beau Hossler,B. Hossler,USA,USA,False,T39,-10,-10.0,F,E,0.0,4.0,COMPLETE,,669,21.0,False,DOWN,-20,274,116,120,70,67,66,71
49964,Aaron,Wise,Aaron Wise,A. Wise,USA,USA,False,T39,-10,-10.0,F,+1,1.0,4.0,COMPLETE,,669,23.0,False,DOWN,-27,274,-,193,66,69,67,72
35506,Mackenzie,Hughes,Mackenzie Hughes,M. Hughes,CAN,CAN,False,T46,-9,-9.0,F,-5,-5.0,4.0,COMPLETE,,669,5.0,False,UP,18,275,124,124,72,67,70,66
34076,Joel,Dahmen,Joel Dahmen,J. Dahmen,USA,USA,False,T46,-9,-9.0,F,-4,-4.0,4.0,COMPLETE,,669,9.0,False,UP,9,275,115,121,66,71,71,67
49228,Keita,Nakajima,Keita Nakajima,K. Nakajima,JPN,JPN,False,T46,-9,-9.0,F,-3,-3.0,4.0,COMPLETE,,669,10.0,False,UP,3,275,144,143,70,69,68,68
36801,Mark,Hubbard,Mark Hubbard,M. Hubbard,USA,USA,False,T46,-9,-9.0,F,-3,-3.0,4.0,COMPLETE,,669,10.0,False,UP,3,275,99,101,72,67,68,68
55182,Tom,Kim,Tom Kim,T. Kim,KOR,KOR,False,T46,-9,-9.0,F,E,0.0,4.0,COMPLETE,,669,16.0,False,DOWN,-19,275,57,58,67,68,69,71
50497,Adrien,Dumont de Chassart,Adrien Dumont de Chassart,A. Dumont de Chassart,BEL,BEL,False,T51,-8,-8.0,F,-5,-5.0,4.0,COMPLETE,,669,4.0,False,UP,18,276,103,107,72,67,71,66
51950,Max,McGreevy,Max McGreevy,M. McGreevy,USA,USA,False,T51,-8,-8.0,F,-3,-3.0,4.0,COMPLETE,,669,7.0,False,UP,4,276,108,112,71,68,69,68
39546,Keith,Mitchell,Keith Mitchell,K. Mitchell,USA,USA,False,T51,-8,-8.0,F,-3,-3.0,4.0,COMPLETE,,669,8.0,False,UP,4,276,44,44,73,66,69,68
49771,J.T.,Poston,J.T. Poston,J.T. Poston,USA,USA,False,T51,-8,-8.0,F,-3,-3.0,4.0,COMPLETE,,669,9.0,False,UP,4,276,23,23,68,69,71,68
67202,Luke,Gutschewski,Luke Gutschewski,L. Gutschewski,USA,USA,False,T51,-8,-8.0,F,-2,-2.0,4.0,COMPLETE,,669,11.0,False,DOWN,-2,276,-,-,67,68,72,69
34587,Chan,Kim,Chan Kim,C. Kim,USA,USA,False,T51,-8,-8.0,F,-1,-1.0,4.0,COMPLETE,,669,12.0,False,DOWN,-7,276,176,175,68,67,71,70
34256,Andrew,Putnam,Andrew Putnam,A. Putnam,USA,USA,False,T51,-8,-8.0,F,+3,3.0,4.0,COMPLETE,,669,23.0,False,DOWN,-39,276,65,65,67,68,67,74
34046,Jordan,Spieth,Jordan Spieth,J. Spieth,USA,USA,False,T58,-7,-7.0,F,-2,-2.0,4.0,COMPLETE,,669,7.0,False,DOWN,-3,277,52,53,70,69,69,69
